S.No.,Application Number,Application Type,Institute Name,Inst Address,Inst Address 2,CITY,District,Pincode,Minority Institute,Womens institute,State,Region,Inst Type,Program,Course,Level,Specialization,Intake,Approval
1,1-4645821,New Institute,ABHILASHI GROUP OF INSTITUTIONS (SCHOOL OF PHARMACY AND SCHOOL OF ENGINEERING & TECHNOLOGY),"CHAIL CHOWK (CHACHYOT), DISTT. MANDI H.P.",CHAILCHOWK,CHAIL CHOWK (CHACHYOT),MANDI,175045,,,Himachal Pradesh,North-West,Unaided-Private,Pharmacy,Pharmacy,Graduate,B. PHARMACY,60,Yes
,1-4645821,New Institute,ABHILASHI GROUP OF INSTITUTIONS (SCHOOL OF PHARMACY AND SCHOOL OF ENGINEERING & TECHNOLOGY),"CHAIL CHOWK (CHACHYOT), DISTT. MANDI H.P.",CHAILCHOWK,CHAIL CHOWK (CHACHYOT),MANDI,175045,,,Himachal Pradesh,North-West,Unaided-Private,Engineering & Technology,Electrical & Communication,Graduate,ELECTRICAL & COMMUNICATION,60,Yes
,1-4645821,New Institute,ABHILASHI GROUP OF INSTITUTIONS (SCHOOL OF PHARMACY AND SCHOOL OF ENGINEERING & TECHNOLOGY),"CHAIL CHOWK (CHACHYOT), DISTT. MANDI H.P.",CHAILCHOWK,CHAIL CHOWK (CHACHYOT),MANDI,175045,,,Himachal Pradesh,North-West,Unaided-Private,Engineering & Technology,Electrical / Electrical & Elex,Graduate,ELECTRICAL & ELECTRONICS,60,Yes
,1-4645821,New Institute,ABHILASHI GROUP OF INSTITUTIONS (SCHOOL OF PHARMACY AND SCHOOL OF ENGINEERING & TECHNOLOGY),"CHAIL CHOWK (CHACHYOT), DISTT. MANDI H.P.",CHAILCHOWK,CHAIL CHOWK (CHACHYOT),MANDI,175045,,,Himachal Pradesh,North-West,Unaided-Private,Engineering & Technology,Mechanical Engineering,Graduate,MECHANICAL,60,Yes
,1-4645821,New Institute,ABHILASHI GROUP OF INSTITUTIONS (SCHOOL OF PHARMACY AND SCHOOL OF ENGINEERING & TECHNOLOGY),"CHAIL CHOWK (CHACHYOT), DISTT. MANDI H.P.",CHAILCHOWK,CHAIL CHOWK (CHACHYOT),MANDI,175045,,,Himachal Pradesh,North-West,Unaided-Private,Engineering & Technology,Civil Engineering,Graduate,CIVIL,120,Yes
2,1-9557561,New Institute,Apex Business School,"IS-2018, INDUSTRIAL AREA, RAMCHANDRA PURA, SITAPURA EXTENSION, JAIPUR",JAIPUR,JAIPUR,JAIPUR,302015,,,Rajasthan,North-West,Unaided-Private,Management,PG Diploma in Management,Post Graduate,PGDM,120,Yes
3,1-9600671,New Institute,APEX GROUP OF INSTITUTIONS,"IS-2018, INDUSTRIAL AREA","RAMCHANDRA PURA, SITAPURA EXTENSION",JAIPUR,JAIPUR,302015,,,Rajasthan,North-West,Unaided-Private,Engineering & Technology,Mechanical Engineering,Graduate,Mechanical,60,Yes
,1-9600671,New Institute,APEX GROUP OF INSTITUTIONS,"IS-2018, INDUSTRIAL AREA","RAMCHANDRA PURA, SITAPURA EXTENSION",JAIPUR,JAIPUR,302015,,,Rajasthan,North-West,Unaided-Private,Engineering & Technology,Electrical / Electrical & Elex,Graduate,Electrical,60,Yes
,1-9600671,New Institute,APEX GROUP OF INSTITUTIONS,"IS-2018, INDUSTRIAL AREA","RAMCHANDRA PURA, SITAPURA EXTENSION",JAIPUR,JAIPUR,302015,,,Rajasthan,North-West,Unaided-Private,Engineering & Technology,Computer Science & Engineering,Graduate,Computer Science,60,Yes
,1-9600671,New Institute,APEX GROUP OF INSTITUTIONS,"IS-2018, INDUSTRIAL AREA","RAMCHANDRA PURA, SITAPURA EXTENSION",JAIPUR,JAIPUR,302015,,,Rajasthan,North-West,Unaided-Private,Engineering & Technology,Civil Engineering,Graduate,Civil,60,Yes
